DK810,Level 8,Accounting and Finance,Dundalk Institute of Technology
DK816,Level 8,Business Studies,Dundalk Institute of Technology
DK817,Level 8,Business Studies (final year),Dundalk Institute of Technology
DK820,Level 8,Computing in Games Development,Dundalk Institute of Technology
DK821,Level 8,Computing in Software Development,Dundalk Institute of Technology
DK822,Level 8,Augmented and Virtual Reality,Dundalk Institute of Technology
DK823,Level 8,Mathematics and Data Science,Dundalk Institute of Technology
DK824,Level 8,Computing Systems and Operations,Dundalk Institute of Technology
DK830,Level 8,Building Surveying,Dundalk Institute of Technology
DK831,Level 8,Architectural Technology,Dundalk Institute of Technology
DK832,Level 8,Construction Management,Dundalk Institute of Technology
DK843,Level 8,Engineering (Common Entry),Dundalk Institute of Technology
DK844,Level 8,Mechanical Engineering,Dundalk Institute of Technology
DK845,Level 8,Electrical and Electronic Engineering,Dundalk Institute of Technology
DK846,Level 8,Civil Engineering,Dundalk Institute of Technology
DK850,Level 8,International Tourism Management,Dundalk Institute of Technology
DK860,Level 8,Music (audition),Dundalk Institute of Technology
DK861,Level 8,Arts,Dundalk Institute of Technology
DK862,Level 8,Social Care,Dundalk Institute of Technology
DK863,Level 8,Creative Media,Dundalk Institute of Technology
DK864,Level 8,Film and Television Production,Dundalk Institute of Technology
DK865,Level 8,Audio and Music Production,Dundalk Institute of Technology
DK870,Level 8,General Nursing,Dundalk Institute of Technology
DK872,Level 8,Intellectual Disability Nursing,Dundalk Institute of Technology
DK874,Level 8,Mental Health Nursing,Dundalk Institute of Technology
DK876,Level 8,Early Childhood Studies,Dundalk Institute of Technology
DK877,Level 8,Midwifery,Dundalk Institute of Technology
DK880,Level 8,Health and Physical Activity,Dundalk Institute of Technology
DK882,Level 8,Agriculture (Award options),Dundalk Institute of Technology
DK883,Level 8,Science (Award options),Dundalk Institute of Technology
DK884,Level 8,Sustainable Agriculture,Dundalk Institute of Technology
DK885,Level 8,Agri-Food Production,Dundalk Institute of Technology
DK886,Level 8,Biopharmaceutical Science,Dundalk Institute of Technology
DK887,Level 8,Environmental Science,Dundalk Institute of Technology
DK710,Level 7,Business and Management,Dundalk Institute of Technology
DK711,Level 7,Business and Technology,Dundalk Institute of Technology
DK712,Level 7,Digital Marketing and Public Relations,Dundalk Institute of Technology
